iter	Passed	Remaining
0	1	171
1	3	169
2	5	167
3	5	143
4	7	140
5	9	143
6	11	149
7	12	148
8	16	163
9	17	156
10	20	163
11	22	166
12	24	164
13	26	164
14	28	159
15	29	154
16	32	157
17	35	163
18	37	158
19	38	154
20	40	152
21	41	148
22	43	144
23	44	141
24	46	138
25	47	134
26	49	134
27	51	131
28	52	128
29	54	126
30	55	123
31	58	125
32	60	123
33	62	121
34	64	120
35	66	118
36	68	116
37	69	113
38	70	111
39	72	108
40	73	105
41	73	102
42	75	99
43	77	98
44	80	97
45	81	96
46	87	98
47	90	97
48	91	95
49	96	96
50	97	94
51	99	91
52	100	88
53	101	86
54	102	83
55	104	82
56	105	79
57	106	77
58	108	75
59	110	73
60	113	72
61	115	70
62	118	69
63	119	67
64	121	65
65	124	63
66	126	62
67	127	59
68	128	57
69	132	56
70	133	54
71	135	52
72	136	50
73	137	48
74	141	47
75	142	45
76	144	43
77	145	41
78	147	39
79	148	37
80	151	35
81	153	33
82	156	31
83	158	30
84	159	28
85	160	26
86	162	24
87	163	22
88	164	20
89	165	18
90	166	16
91	169	14
92	170	12
93	172	10
94	173	9
95	178	7
96	180	5
97	181	3
98	183	1
99	187	0
